Generation, Population, Food 
1, 628, 1100
2, 519, 1200
3, 707, 1300
4, 1369, 1400
5, 1965, 1500
6, 2011, 1600
7, 1596, 1700
8, 945, 1800
9, 783, 1900
10, 1259, 2000
11, 2283, 2100
12, 3864, 2200
13, 3034, 2300
14, 1730, 2400
15, 984, 2500
16, 1097, 2600
17, 2149, 2700
18, 3937, 2800
19, 4695, 2900
20, 3064, 3000
21, 1972, 3100
22, 1438, 3200
23, 1738, 3300
24, 3085, 3400
25, 4412, 3500
26, 4812, 3600
27, 3615, 3700
28, 2073, 3800
29, 1584, 3900
30, 2219, 4000
31, 4353, 4100
32, 7753, 4200
33, 6099, 4300
34, 3059, 4400
35, 1614, 4500
36, 1824, 4600
37, 3936, 4700
38, 7484, 4800
39, 8177, 4900
40, 4516, 5000
41, 2024, 5100
42, 1722, 5200
43, 3465, 5300
44, 7766, 5400
45, 11033, 5500
46, 5865, 5600
47, 2936, 5700
48, 2171, 5800
49, 3158, 5900
50, 6592, 6000
51, 12258, 6100
52, 8585, 6200
53, 4062, 6300
54, 2231, 6400
55, 2663, 6500
56, 5884, 6600
57, 10528, 6700
58, 10592, 6800
59, 6009, 6900
60, 2890, 7000
61, 2494, 7100
62, 4726, 7200
63, 9960, 7300
64, 14378, 7400
65, 8316, 7500
66, 4275, 7600
67, 2938, 7700
68, 3945, 7800
69, 7908, 7900
70, 16042, 8000
71, 12237, 8100
72, 5480, 8200
73, 2763, 8300
74, 3180, 8400
75, 7106, 8500
76, 14353, 8600
77, 14700, 8700
78, 7641, 8800
79, 3305, 8900
80, 2937, 9000
81, 6009, 9100
82, 13958, 9200
83, 18823, 9300
84, 9527, 9400
85, 4746, 9500
86, 3486, 9600
87, 5486, 9700
88, 11091, 9800
89, 19806, 9900
90, 13277, 10000
91, 6219, 10100
92, 3586, 10200
93, 4437, 10300
94, 9647, 10400
95, 16241, 10500
96, 15684, 10600
97, 9180, 10700
98, 4578, 10800
99, 4119, 10900
100, 7229, 11000
